u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,speed_kph,travel_time,geometry,lit,surface,ref,width,tunnel,junction,access,service,bridge,distance,lighting,greenery,pollution,surface_quality
563661380,6210838910,0,174752261,unclassified,,30 mph,Cheeke Street,False,False,13.737568613716723,48.2802,1.0243380725303584,"LINESTRING (-3.522892 50.725461, -3.5228368 50.7255795)",yes,asphalt,,,,,no,,,13.737568613716723,0.2,0.4,0.3,0.9
563661380,563661381,0,655753854,secondary,2,30 mph,,False,False,19.560602927487892,48.2802,1.4585310445888047,"LINESTRING (-3.522892 50.725461, -3.5227945 50.7255079, -3.5226449 50.7255346)",yes,asphalt,B3183,,,roundabout,,,,19.560602927487892,0.2,0.3,0.7,0.9
563661380,21761614,0,655753855,secondary,2,30 mph,,False,True,17.717000889006652,48.2802,1.3210633593154948,"LINESTRING (-3.522892 50.725461, -3.5229518 50.72541, -3.5229895 50.7253511, -3.5230025 50.7253199)",yes,asphalt,B3183,,,roundabout,,,,17.717000889006652,0.2,0.3,0.7,0.9
5784256586,5784256584,0,655753857,secondary,2,30 mph,,False,True,2.329855490690129,48.2802,0.17372504186984447,"LINESTRING (-3.5229243 50.7251425, -3.5229039 50.725126)",yes,asphalt,B3183,,,roundabout,,,,2.329855490690129,0.2,0.3,0.7,0.9
5784256586,21761636,0,4089132,secondary,1,30 mph,Paris Street,False,False,30.897466037487757,48.2802,2.3038611632709873,"LINESTRING (-3.5229243 50.7251425, -3.5230615 50.7251681, -3.5231794 50.7251851, -3.5233531 50.7251985)",yes,asphalt,B3183,,,,,,,30.897466037487757,0.2,0.3,0.7,0.9
5784256586,21761614,0,655753856,secondary,2,30 mph,,False,False,20.975655348891493,48.2802,1.564044044059664,"LINESTRING (-3.5229243 50.7251425, -3.5229548 50.7251671, -3.5229908 50.7252257, -3.5230025 50.7253199)",yes,asphalt,B3183,,,roundabout,,,,20.975655348891493,0.2,0.3,0.7,0.9
1786461708,6531967635,0,42737095,secondary,,20 mph,Paris Street,False,False,20.195467259065275,32.1868,2.2588042965636532,"LINESTRING (-3.5236297 50.7251674, -3.5239122 50.7251357)",no,asphalt,B3183,,,,,,,20.195467259065275,0.8,0.3,0.7,0.9
1786461708,273442897,0,167238720,service,,,,False,True,8.304275030317939,32.1868,0.9288090182666368,"LINESTRING (-3.5236297 50.7251674, -3.523615 50.7250933)",yes,asphalt,,,,,,driveway,,8.304275030317939,0.2,0.4,0.3,0.9
1786461708,21761636,0,"[1455359243, 42737095]",secondary,,20 mph,Paris Street,False,True,19.7748858568349,32.1868,2.211763489523831,"LINESTRING (-3.5236297 50.7251674, -3.5235624 50.7251749, -3.5233531 50.7251985)",no,asphalt,B3183,,,,,,,19.7748858568349,0.8,0.3,0.7,0.9
6210838910,563661380,0,174752261,unclassified,,30 mph,Cheeke Street,False,True,13.737568613716723,48.2802,1.0243380725303584,"LINESTRING (-3.5228368 50.7255795, -3.522892 50.725461)",yes,asphalt,,,,,no,,,13.737568613716723,0.2,0.4,0.3,0.9
6210838910,6210838911,0,663556669,footway,,,,False,False,3.9611570923313,34.375197396878484,0.41483879693117354,"LINESTRING (-3.5228368 50.7255795, -3.5228929 50.7255823)",no,asphalt,,,,,,,,3.9611570923313,0.8,0.9,0.1,0.9
6210838910,1070821560,0,174752261,unclassified,,30 mph,Cheeke Street,False,False,17.905476671982125,48.2802,1.335117004882657,"LINESTRING (-3.5228368 50.7255795, -3.5228321 50.7256228, -3.5228206 50.7257402)",no,asphalt,,,,,no,,,17.905476671982125,0.8,0.4,0.3,0.9
6210838910,6210838909,0,663556669,footway,,,,False,True,7.490053405269576,34.375197396878484,0.7844083612860654,"LINESTRING (-3.5228368 50.7255795, -3.5227803 50.7255815, -3.5227326 50.7255906)",no,asphalt,,,,,,,,7.490053405269576,0.8,0.9,0.1,0.9
563661381,6210838909,0,174752262,unclassified,,30 mph,Cheeke Street,False,True,8.76832395559779,48.2802,0.6538076942546229,"LINESTRING (-3.5226449 50.7255346, -3.5227326 50.7255906)",yes,asphalt,,,,,,,,8.76832395559779,0.2,0.4,0.3,0.9
563661381,359237293,0,655753853,secondary,2,30 mph,,False,False,12.997660603999552,48.2802,0.9691670327463099,"LINESTRING (-3.5226449 50.7255346, -3.5225698 50.7255371, -3.5224632 50.7255214)",yes,asphalt,B3183,,,roundabout,,,,12.997660603999552,0.2,0.3,0.7,0.9
563661381,563661380,0,655753854,secondary,2,30 mph,,False,True,19.560602927487892,48.2802,1.4585310445888047,"LINESTRING (-3.5226449 50.7255346, -3.5227945 50.7255079, -3.522892 50.725461)",yes,asphalt,B3183,,,roundabout,,,,19.560602927487892,0.2,0.3,0.7,0.9
5784256584,5784256586,0,655753857,secondary,2,30 mph,,False,False,2.329855490690129,48.2802,0.17372504186984447,"LINESTRING (-3.5229039 50.725126, -3.5229243 50.7251425)",yes,asphalt,B3183,,,roundabout,,,,2.329855490690129,0.2,0.3,0.7,0.9
5784256584,5784256588,0,4089082,secondary,2,30 mph,,False,True,26.790356275601297,48.2802,1.9976156393752442,"LINESTRING (-3.5229039 50.725126, -3.5228725 50.7251007, -3.5227966 50.7250665, -3.5227101 50.7250444, -3.5226827 50.7250418, -3.5226179 50.7250356, -3.522568 50.7250383)",yes,asphalt,B3183,,,roundabout,,,,26.790356275601297,0.2,0.3,0.7,0.9
5784256584,359237348,0,32023569,secondary,1,30 mph,Western Way,False,True,27.99537991812957,48.2802,2.0874678999935057,"LINESTRING (-3.5229039 50.725126, -3.5229208 50.7250628, -3.5229272 50.725026, -3.5229532 50.7249734, -3.5230202 50.7248878)",yes,asphalt,,,,,,,,27.99537991812957,0.2,0.3,0.7,0.9
6531967635,359236562,0,42737095,secondary,,20 mph,Paris Street,False,False,20.616298433047028,32.1868,2.30587303984768,"LINESTRING (-3.5239122 50.7251357, -3.5242013 50.725106)",no,asphalt,B3183,,,,,,,20.616298433047028,0.8,0.3,0.7,0.9
6531967635,1786461708,0,42737095,secondary,,20 mph,Paris Street,False,True,20.195467259065275,32.1868,2.2588042965636532,"LINESTRING (-3.5239122 50.7251357, -3.5236297 50.7251674)",no,asphalt,B3183,,,,,,,20.195467259065275,0.8,0.3,0.7,0.9
6531967635,6531967636,0,695612071,footway,,,,False,False,8.145744032942245,34.375197396878484,0.8530766581504772,"LINESTRING (-3.5239122 50.7251357, -3.5239236 50.7252086)",no,paving_stones,,,,,,,,8.145744032942245,0.8,0.9,0.1,1.1
6531967635,6531967634,0,695612071,footway,,,,False,True,6.796677412075953,34.375197396878484,0.7117934015324463,"LINESTRING (-3.5239122 50.7251357, -3.5239095 50.7250746)",yes,asphalt,,,,,,,,6.796677412075953,0.2,0.9,0.1,0.9
273442897,1786461708,0,167238720,service,,,,False,False,8.304275030317939,32.1868,0.9288090182666368,"LINESTRING (-3.523615 50.7250933, -3.5236297 50.7251674)",yes,asphalt,,,,,,driveway,,8.304275030317939,0.2,0.4,0.3,0.9
273442897,6531967634,0,610764858,footway,,,,False,False,20.834220751684047,34.375197396878484,2.181898589268127,"LINESTRING (-3.523615 50.7250933, -3.5239095 50.7250746)",yes,asphalt,,,,,,,,20.834220751684047,0.2,0.9,0.1,0.9
