u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lit,surface,lanes,ref,service,tunnel,access,bridge,junction
6211451020,1242132583,0,663625161,service,,,False,True,112.12882522943795,"LINESTRING (-2.5818705 51.4607148, -2.5820634 51.460824, -2.582109 51.4608608, -2.5821345 51.4609001, -2.5821385 51.4609519, -2.5821278 51.4609945, -2.5820942 51.4610204, -2.5820352 51.4610405, -2.5819708 51.4610622, -2.5818756 51.4610964, -2.5816275 51.4612134, -2.5815833 51.4612259, -2.5815471 51.4612209, -2.5814505 51.4611842, -2.5812664 51.4610797)",yes,asphalt,,,,,,,
19871274,5753086713,0,26230276,footway,,,False,False,46.8205600387419,"LINESTRING (-2.5828657 51.4611473, -2.5825756 51.460767)",yes,asphalt,,,,,,,
19871274,19871273,0,72343225,unclassified,20 mph,Wilson Street,False,False,44.85446045280386,"LINESTRING (-2.5828657 51.4611473, -2.5822897 51.4613315)",yes,asphalt,,,,,,,
19871274,262442292,0,72343225,unclassified,20 mph,Wilson Street,False,True,85.0388930704271,"LINESTRING (-2.5828657 51.4611473, -2.58397 51.4608134)",yes,concrete,,,,,,,
6211450986,19871273,0,663625146,service,,,False,True,38.12521605469308,"LINESTRING (-2.5825341 51.4616387, -2.5823617 51.4614219, -2.5822897 51.4613315)",yes,asphalt,,,,,,,
1722968890,1722968878,0,160234170,service,,,False,True,22.93897229740086,"LINESTRING (-2.5799636 51.4625874, -2.5796845 51.4624764)",yes,asphalt,,,,,,,
1722968890,1722968881,0,160234171,service,,,False,False,9.804726547040493,"LINESTRING (-2.5799636 51.4625874, -2.5800337 51.4625108)",no,asphalt,,,parking_aisle,,,,
1722968890,1722968925,0,160234171,service,,,False,True,48.73900078335072,"LINESTRING (-2.5799636 51.4625874, -2.5796152 51.4629682)",no,asphalt,,,parking_aisle,,,,
1297069020,1282135928,0,114515396,footway,,,False,False,5.3019720247085,"LINESTRING (-2.5793882 51.4627759, -2.5793249 51.4627491)",yes,asphalt,,,,,,,
1297069020,1722968878,0,1364006095,unclassified,,Newfoundland Road,False,True,39.12080435493503,"LINESTRING (-2.5793882 51.4627759, -2.5796845 51.4624764)",yes,asphalt,,,,,,,
5900430623,19875368,0,24359420,unclassified,20 mph,Brigstocke Road,False,False,67.27636254848716,"LINESTRING (-2.5881204 51.4644197, -2.5875944 51.4639111)",yes,asphalt,,,,,,,
5900430623,5900430626,0,"[624866104, 624866105, 624866103]",service,,,False,True,24.160914752822542,"LINESTRING (-2.5881204 51.4644197, -2.5882184 51.4643888, -2.5883799 51.464338, -2.5884316 51.4643216)",yes,asphalt,,,,building_passage,,,
4794218449,19875368,0,26792514,residential,20 mph,Hepburn Road,False,True,66.07768775637653,"LINESTRING (-2.5883427 51.4635426, -2.5875944 51.4639111)",yes,asphalt,,,,,,,
4794218449,21309748,0,"[26792514, 94255692]","['service', 'residential']",20 mph,Hepburn Road,False,False,119.76576496020468,"LINESTRING (-2.5883427 51.4635426, -2.5889975 51.4632201, -2.5890837 51.463187, -2.5891775 51.4631827, -2.5898705 51.4632387)",no,asphalt,,,,,,,
4794218449,4794218446,0,"[486880427, 486880428, 486880429]",footway,,,False,False,17.58794138973343,"LINESTRING (-2.5883427 51.4635426, -2.5883772 51.4635699, -2.5884539 51.4636308, -2.5884995 51.463667)",no,paving_stones,,,,building_passage,,,
104837,21591967,0,4234845,unclassified,20 mph,Brunswick Street,False,True,47.466898558256716,"LINESTRING (-2.5872167 51.4617977, -2.5876224 51.4621417)",yes,asphalt,,,,,,,
104837,19875366,0,24359413,unclassified,20 mph,Wilder Street,False,False,29.830050997914846,"LINESTRING (-2.5872167 51.4617977, -2.5868757 51.4619615)",yes,asphalt,,,,,,,
104837,5906030287,0,24359413,unclassified,20 mph,Wilder Street,False,True,21.07662222925079,"LINESTRING (-2.5872167 51.4617977, -2.5873944 51.4617055, -2.5874519 51.4616775)",yes,asphalt,,,,,,,
21591967,104837,0,4234845,unclassified,20 mph,Brunswick Street,False,False,47.466898558256716,"LINESTRING (-2.5876224 51.4621417, -2.5872167 51.4617977)",yes,asphalt,,,,,,,
21591967,2882617940,0,4234845,unclassified,20 mph,Brunswick Street,False,True,45.923918683251834,"LINESTRING (-2.5876224 51.4621417, -2.5880269 51.4624689)",no,asphalt,,,,,,,
21591967,21591966,0,72343248,residential,20 mph,Argyle Road,False,True,107.93223316873032,"LINESTRING (-2.5876224 51.4621417, -2.5863995 51.4627431)",yes,asphalt,,,,,,,
19875366,287225971,0,3878218,unclassified,20 mph,Cave Street,False,True,45.00066433656381,"LINESTRING (-2.5868757 51.4619615, -2.5865958 51.4615963)",yes,asphalt,,,,,,,
19875366,5906108608,0,24359413,unclassified,20 mph,Wilder Street,False,False,25.795125279711797,"LINESTRING (-2.5868757 51.4619615, -2.5865848 51.4621063)",yes,asphalt,,,,,,,
19875366,104837,0,24359413,unclassified,20 mph,Wilder Street,False,True,29.830050997914846,"LINESTRING (-2.5868757 51.4619615, -2.5872167 51.4617977)",yes,asphalt,,,,,,,
5906030287,262442708,0,24359413,unclassified,20 mph,Wilder Street,False,True,64.24283798699834,"LINESTRING (-2.5874519 51.4616775, -2.588183 51.4613221)",yes,paving_stones,,,,,,,
5906030287,104837,0,24359413,unclassified,20 mph,Wilder Street,False,False,21.07662222925079,"LINESTRING (-2.5874519 51.4616775, -2.5873944 51.4617055, -2.5872167 51.4617977)",yes,asphalt,,,,,,,
5906030287,5906030290,0,"[625529176, 625529174, 625529175]",service,,,False,True,16.79986808423033,"LINESTRING (-2.5874519 51.4616775, -2.5874019 51.4616375, -2.5873273 51.4615778, -2.5873029 51.4615583)",yes,asphalt,,,,building_passage,,,
2882617940,21591967,0,4234845,unclassified,20 mph,Brunswick Street,False,False,45.923918683251834,"LINESTRING (-2.5880269 51.4624689, -2.5876224 51.4621417)",no,asphalt,,,,,,,
2882617940,293907316,0,4234845,unclassified,20 mph,Brunswick Street,False,True,48.57795779798697,"LINESTRING (-2.5880269 51.4624689, -2.5884548 51.462815)",no,asphalt,,,,,,,
2882617940,859323223,0,"[284531833, 72343206]","['footway', 'unclassified']",20 mph,Backfields Lane,False,"[False, True]",47.16763002947642,"LINESTRING (-2.5880269 51.4624689, -2.5881795 51.4623941, -2.5881654 51.462381, -2.5880795 51.4624218, -2.5880633 51.4624082, -2.5881696 51.4623586, -2.5881806 51.4623669, -2.5883204 51.4623002)",no,asphalt,,,,,,,
287225971,19875366,0,3878218,unclassified,20 mph,Cave Street,False,False,45.00066433656381,"LINESTRING (-2.5865958 51.4615963, -2.5868757 51.4619615)",yes,asphalt,,,,,,,
287225971,19871261,0,3878218,unclassified,20 mph,Cave Street,False,True,39.961324690828015,"LINESTRING (-2.5865958 51.4615963, -2.586359 51.4612686)",yes,paved,,,,,,,
287225971,364165242,0,26230258,service,,Chapter Street,False,True,72.35683802684447,"LINESTRING (-2.5865958 51.4615963, -2.585654 51.4618776)",yes,asphalt,,,,,,,
5906108608,19875366,0,24359413,unclassified,20 mph,Wilder Street,False,True,25.795125279711797,"LINESTRING (-2.5865848 51.4621063, -2.5868757 51.4619615)",yes,asphalt,,,,,,,
5906108608,19875363,0,24359413,unclassified,20 mph,Wilder Street,False,False,47.839200580996604,"LINESTRING (-2.5865848 51.4621063, -2.5860941 51.4623508, -2.5860455 51.462375)",yes,asphalt,,,,,,,
5906108608,5906108611,0,"[625536892, 625536893, 625536894]",service,,,False,True,19.650825861718523,"LINESTRING (-2.5865848 51.4621063, -2.586534 51.4620542, -2.5864831 51.4620063, -2.5864331 51.461957)",yes,asphalt,,,,building_passage,,,
262442708,5906030287,0,24359413,unclassified,20 mph,Wilder Street,False,False,64.24283798699834,"LINESTRING (-2.588183 51.4613221, -2.5874519 51.4616775)",yes,paving_stones,,,,,,,
262442708,104838,0,24359413,unclassified,20 mph,Wilder Street,False,True,47.60920218995218,"LINESTRING (-2.588183 51.4613221, -2.5887285 51.4610617)",yes,asphalt,,,,,,,
262442708,262442706,0,24239238,footway,,,False,True,19.541553699696188,"LINESTRING (-2.588183 51.4613221, -2.5881547 51.4612986, -2.5880054 51.4611856)",yes,paving_stones,,,,,,,
5906030290,5906030287,0,"[625529176, 625529174, 625529175]",service,,,False,False,16.799868084230333,"LINESTRING (-2.5873029 51.4615583, -2.5873273 51.4615778, -2.5874019 51.4616375, -2.5874519 51.4616775)",yes,asphalt,,,,building_passage,,,
